Velocity field t=3s			
x (m)	y (m)	u (m/s)	v (m/s)
1.77	-1.82	0.34586176	0.28526431
1.83	-1.82	0.67730988	0.01592276
1.89	-1.82	0.60872533	0.13974118
2.19	-1.82	0.91067144	-0.016857207
2.25	-1.82	0.90570501	0.016087509
2.31	-1.82	0.75209317	0.20999625
2.37	-1.82	0.77001646	0.36051115
2.43	-1.82	0.084251683	0.010037631
2.49	-1.82	0.28288555	0.027440996
3.39	-1.82	-0.000870939	-0.001624237
1.65	-1.78	0.72935048	-0.26174589
1.71	-1.78	0.78776372	-0.11046949
1.77	-1.78	0.59122196	-0.00673824
1.83	-1.78	0.48261947	0.022923672
1.89	-1.78	0.60184003	0.055981494
1.95	-1.78	0.63878022	0.10748232
2.01	-1.78	0.77212072	0.041706427
2.07	-1.78	0.79150502	0.01328384
2.13	-1.78	0.97511317	-0.061771804
2.19	-1.78	0.91563786	-0.049801922
2.25	-1.78	0.69412726	0.10789159
2.31	-1.78	0.72105578	0.097866037
2.37	-1.78	0.82310279	0.13839105
2.43	-1.78	0.49826352	0.10486643
2.49	-1.78	0.48452064	0.1288281
2.55	-1.78	0.46118053	0.006974927
2.61	-1.78	0.5241746	0.016914088
2.67	-1.78	0.76158221	0.04614251
2.73	-1.78	0.98755833	0.021624148
2.79	-1.78	0.93107496	-0.076474597
2.85	-1.78	0.81314473	-0.003434218
2.91	-1.78	0.6952145	0.069606161
2.97	-1.78	0.65839949	-0.020955325
3.03	-1.78	0.61893554	0.059355205
3.09	-1.78	0.49266055	0.32544922
3.15	-1.78	0.24685362	0.16146524
3.21	-1.78	0.001046696	-0.002518734
3.27	-1.78	-0.001211581	0.002376725
3.33	-1.78	0.005085563	-0.015768774
3.39	-1.78	-0.001134922	0.00452328
3.45	-1.78	-0.006238461	0.022050099
3.63	-1.78	1.1393468	0.24758234
3.69	-1.78	0.8860467	0.2022436
3.75	-1.78	0.92031427	0.27111588
3.81	-1.78	1.0203478	0.22958029
1.59	-1.74	0.3810591	0.15695652
1.65	-1.74	0.3810591	0.15695652
1.71	-1.74	0.43707807	-0.004678386
1.77	-1.74	0.28167924	0.091554373
1.83	-1.74	0.4633298	0.021401034
1.89	-1.74	0.60718421	-0.066886183
1.95	-1.74	0.83356406	-0.038250983
2.01	-1.74	0.90418401	0.004707852
2.07	-1.74	0.94302188	-0.14035264
