# Results for "element" with Id # 111651 for search config "initial" at position: x0: 4; y0: -0.8; z0: 0
# time HEIGHT VELOCITY_X VELOCITY_Y VELOCITY_Z
0.003666841412107936 1e-06 0.0 0.0 0.0
0.007333682824215872 1e-06 6.00736913458209e-32 8.501271136559528e-32 0.0
0.010885830737507566 1.0000000000000002e-06 4.2254742761407996e-32 8.204564596732288e-32 0.0
0.014122157757109694 1.0000000000000004e-06 1.1603667681368186e-31 3.7522593872080525e-32 0.0
0.016819698628685466 1.0000000000000004e-06 1.1874731336579125e-31 3.41043796978333e-32 0.0
0.019281928100757656 1.0000000000000004e-06 1.080166159691124e-31 3.711084254120615e-32 0.0
0.021581788062517548 1.0000000000000004e-06 1.1499124499018765e-31 5.162366405489457e-32 0.0
0.023766083148510097 1.0000000000000004e-06 1.3601718053363709e-31 4.1126326631081505e-32 0.0
0.02586423083599242 1.0000000000000004e-06 1.1062916460209366e-31 4.4915110944543454e-32 0.0
0.027881138003858198 1.0000000000000004e-06 1.308255090536199e-31 4.117730230374499e-32 0.0
0.029842788395418835 1.0000000000000004e-06 1.0807504554459757e-31 4.5145025162495675e-32 0.0
0.031771600260576786 1.0000000000000004e-06 1.2638023034930353e-31 3.070181186883225e-32 0.0
0.03368462585322092 1.0000000000000006e-06 7.493223375143789e-32 1.0108904753596157e-31 0.0
0.035550118459030555 1.0000000000000006e-06 8.26956509245183e-32 9.832788728782229e-32 0.0
0.03737930022012952 1.0000000000000008e-06 6.279034282170182e-32 9.420206143877843e-32 0.0
0.03918812336532036 1.0000000000000006e-06 8.872047321852833e-32 9.213209903479029e-32 0.0
0.040990894386391925 1.0000000000000006e-06 7.979078104146713e-32 1.0415697487627596e-31 0.0
0.04279945575376549 1.0000000000000004e-06 9.994360271334407e-32 4.619839776540296e-32 0.0
0.044618847471022786 1.0000000000000004e-06 1.0153148014765158e-31 6.023188453472878e-32 0.0
0.04640191584774642 1.0000000000000004e-06 1.050164481343746e-31 4.6083047414254265e-32 0.0
0.04816335862532056 1.0000000000000006e-06 8.043004169634116e-32 9.161094827080902e-32 0.0
0.04991508064746077 1.0000000000000008e-06 3.2744942829594624e-32 7.523758741429639e-32 0.0
0.05166633615533688 1.0000000000000008e-06 3.3071926502806184e-32 5.536687388448037e-32 0.0
0.053424098741209694 1.0000000000000006e-06 7.48370276554626e-32 9.418018289664143e-32 0.0
0.05519263044772744 1.0000000000000006e-06 8.252092513391993e-32 9.399011494495468e-32 0.0
0.056973597358588146 1.0000000000000006e-06 6.35227041886912e-32 6.001471773928359e-32 0.0
0.05876720091908901 1.0000000000000006e-06 8.656132700693525e-32 9.337080902086848e-32 0.0
0.06051639670583767 1.0000000000000006e-06 8.604533097426361e-32 9.217743696379344e-32 0.0
0.06223793495949657 1.0000000000000006e-06 7.039714130897665e-32 7.014129136424753e-32 0.0
0.06394444173226052 1.0000000000000008e-06 5.297186151972287e-32 8.74314552168809e-32 0.0
0.06564327711082348 1.0000000000000008e-06 7.754332940806226e-32 3.248960474544557e-32 0.0
0.0673407930704119 1.0000000000000008e-06 2.695401519690408e-32 7.077271376160742e-32 0.0
0.06901243537327831 1.000000000000001e-06 7.134638532697004e-32 4.0721542833286865e-32 0.0
0.07065898107136993 1.0000000000000008e-06 6.342579857728821e-32 3.8890752110073993e-32 0.0
0.07229109483542397 1.0000000000000006e-06 8.362733608467275e-32 6.751395011027881e-32 0.0
0.07391707911934452 1.0000000000000006e-06 8.900763827474424e-32 8.869635233392255e-32 0.0
0.07554203185497835 1.0000000000000008e-06 6.231060887523648e-32 9.282271331136821e-32 0.0
0.07716853797837708 1.0000000000000006e-06 3.4253341015970864e-32 7.520361427099687e-32 0.0
0.07879801165047937 1.0000000000000006e-06 8.043797283234654e-32 9.620787533422913e-32 0.0
0.08043122915296716 1.0000000000000006e-06 8.891787741251627e-32 1.0310201730056265e-31 0.0
0.0820683107089917 1.0000000000000008e-06 5.365065591785551e-32 6.973337165602775e-32 0.0
0.0837087005164856 1.0000000000000008e-06 2.967957019421827e-32 7.740395852477105e-32 0.0
0.08535158631335009 1.000000000000001e-06 7.764397749285235e-32 5.480883540793579e-32 0.0
0.0869964336284396 1.000000000000001e-06 6.542734680351206e-32 5.163512862544141e-32 0.0
0.08864292126755681 1.000000000000001e-06 8.640470593677078e-32 5.716737446494227e-32 0.0
0.09029075425320537 1.000000000000001e-06 8.120470746918116e-32 3.9987046365227915e-32 0.0
0.09193984084374174 1.0000000000000008e-06 8.234237595628051e-32 2.6546970811462864e-32 0.0
0.09359025994893246 1.0000000000000006e-06 5.962778970025032e-32 7.331235499206706e-32 0.0
0.0952421629040483 1.0000000000000006e-06 7.879247740833303e-32 6.575380235448503e-32 0.0
0.09689580308911766 1.0000000000000008e-06 3.5804143711211545e-32 7.026779951856376e-32 0.0
0.09855159201338366 1.000000000000001e-06 8.385161458649638e-32 5.640633497955718e-32 0.0
0.10020987838147433 1.000000000000001e-06 8.899851819718265e-32 4.350572113990872e-32 0.0
0.10187101080130746 1.000000000000001e-06 8.377296080351275e-32 4.8751136177292333e-32 0.0
0.10353538849056174 1.000000000000001e-06 8.271805994736106e-32 4.2364050898353453e-32 0.0
0.10520338900227798 1.0000000000000012e-06 6.109550008799041e-32 5.13761177144569e-32 0.0
0.1068752814110973 1.0000000000000014e-06 7.620534467433644e-32 3.526031043987509e-32 0.0
0.108551253091311 1.0000000000000016e-06 7.376339265607699e-32 -5.951514354265993e-34 0.0
0.1102313676680889 1.0000000000000014e-06 7.223997012807191e-32 8.027002118989185e-32 0.0
