# Results for "element" with Id # 111651 for search config "initial" at position: x0: 4; y0: -0.8; z0: 0
# time HEIGHT VELOCITY_X VELOCITY_Y VELOCITY_Z
24.183735319546336 0.0750045649642232 0.7539799081899917 -0.022689777109029204 0.0
24.185765483156043 0.0749769133403757 0.7538384858931755 -0.02253227924823998 0.0
24.187794384480956 0.07494958513584667 0.7536986657087275 -0.022384055646181615 0.0
24.189822341132402 0.07492334192887874 0.7535608077919044 -0.022248670917535164 0.0
24.19184959763973 0.07489846326744838 0.7534267080473251 -0.02212912678228149 0.0
24.19387647965026 0.07487577505662704 0.7532986857522165 -0.02202901063299613 0.0
24.195903357367165 0.0748550560339391 0.7531834837587466 -0.021948074470747925 0.0
24.197931168740126 0.07483716003409373 0.7530832586953242 -0.021888934760198715 0.0
24.199959762079942 0.07482294926411387 0.7529982980165799 -0.021853143016245635 0.0
24.2019891199104 0.0748119532833145 0.7529319711466055 -0.021841478521399258 0.0
24.204019307442053 0.07480460431642749 0.752884165257971 -0.021853205098358783 0.0
24.206050383506224 0.07480024178452908 0.752855339903537 -0.021887220646507347 0.0
24.208082348346736 0.07479907426020231 0.7528429393241435 -0.021940913306226252 0.0
24.21011511883915 0.07480050599483995 0.7528453094714211 -0.02201277330435055 0.0
24.21214851349151 0.07480375626674612 0.7528585474778279 -0.022099664235469926 0.0
24.21418224908066 0.07480842356855805 0.752879738809026 -0.022197556297861624 0.0
24.216215950956432 0.07481335046544338 0.7529058725558861 -0.022302768301008604 0.0
24.218249256222816 0.07481875721154391 0.7529307905954973 -0.022411758871997648 0.0
24.220281771151367 0.07482140155155725 0.7529646976241928 -0.022518859392883745 0.0
24.222313104595848 0.07482247573822913 0.7529973700223171 -0.022621099705569418 0.0
24.22434294531359 0.07482309550759285 0.7530173190734178 -0.022719968845702883 0.0
24.226371049611558 0.07482284008076781 0.7530345858095413 -0.022809991533125084 0.0
24.2283973044835 0.07482392414270114 0.7530376233257841 -0.02289358234413092 0.0
24.230421867629204 0.0748244534736367 0.7530419288668658 -0.022967036544836658 0.0
24.23244495946281 0.07482678929000797 0.7530411466065453 -0.023030747174324885 0.0
24.2344669973705 0.07483069972335406 0.753040821568248 -0.0230839528000525 0.0
24.236488562780693 0.07483728553021322 0.7530491166589348 -0.023127600252123036 0.0
24.238510331018762 0.07484625500869127 0.7530704924102749 -0.023160437501483222 0.0
24.240533078867088 0.07485907200084779 0.7531084516018591 -0.023185884954638167 0.0
24.242557496975902 0.07487539841146838 0.7531623513589529 -0.023201811914899166 0.0
24.244584184621775 0.07489545933639725 0.7532406570709724 -0.023207465685741058 0.0
24.246613580388267 0.074919577536713 0.7533342745802858 -0.023204738967475703 0.0
24.248645887340366 0.07494750138078693 0.753448797119451 -0.023193965899950333 0.0
24.250680697149793 0.07497840526081614 0.7535751223236529 -0.023176953278541343 0.0
24.25271775163323 0.07501188761948066 0.7537144095116248 -0.023154194447559912 0.0
24.25475652261516 0.0750473439348226 0.7538556874522269 -0.023129931199566182 0.0
24.256796166557365 0.07508315415751135 0.7539973774552994 -0.02310526930456324 0.0
24.25883594461752 0.07511895954358674 0.7541381317467412 -0.023084393341760073 0.0
24.260875129764916 0.07515430079636454 0.7542704419186205 -0.023072654775056767 0.0
24.262913101109675 0.07518836511277778 0.754387948081968 -0.02307562821553759 0.0
24.26494943561085 0.07522070286866714 0.7544928610500092 -0.023097075477174447 0.0
24.266983961668895 0.07525115666153662 0.7545830924251188 -0.02314244948044865 0.0
24.26901677121866 0.07527978481308241 0.7546625903623272 -0.023215527331248008 0.0
24.27104819007998 0.07530772936818779 0.7547386298235783 -0.02332363539885271 0.0
24.273078717698777 0.07533515718018921 0.7548107328637856 -0.02347022540771429 0.0
24.275108945692153 0.07536216124719046 0.7548845882524596 -0.02365722774714528 0.0
24.277139475128088 0.07538918680074475 0.75496188018014 -0.02388430157690953 0.0
24.279170824968702 0.07541609118599649 0.7550509085450474 -0.02415025283308906 0.0
24.28120335706807 0.07544338837727846 0.7551514675267139 -0.024455664031869155 0.0
24.283237233243277 0.07547310977478985 0.7552677956295653 -0.02480212355841366 0.0
24.285272402623704 0.07550525774332612 0.7554003000965428 -0.025187673301012535 0.0
24.287308618793457 0.07553843463766627 0.755547152164306 -0.025606273889933397 0.0
24.289345479450326 0.07556963729700693 0.7557052611386457 -0.026049146864139325 0.0
24.291382513450035 0.07559898612614707 0.7558723125542152 -0.02651317938245933 0.0
